date,temperature_2m,wind_speed_10m,rain,snowfall,precipitation,wind_speed_100m,year,month,day,hour,day_of_week,is_weekend,time_of_day,season,temperature_category,temperature_delta,is_comfortable_temp,wind_category,wind_ratio,is_windy,has_precipitation,is_rainy,is_snowy,precipitation_category,feels_like_temp,weather_severity,is_good_biking_weather
2023-07-12 13:00:00+00:00,27.072498,5.3517847,0.0,0.0,0.0,7.386582,2023,7,12,13,2,0,Afternoon,Summer,Warm,2.5499979999999987,0,Light breeze,1.3802091104300216,0,0,0,0,,27.072498,4.53517847,0
2023-03-16 05:00:00+00:00,-0.027500004,16.548256,0.0,0.0,0.0,30.61482,2023,3,16,5,3,0,Night,Spring,Freezing,-0.600000004,0,Strong,1.8500330185851608,1,0,0,0,,-4.728149038467155,5.6548256,0
2023-03-28 07:00:00+00:00,3.3225,9.007196,0.0,0.0,0.0,20.774214,2023,3,28,7,1,0,Morning,Spring,Cold,-0.4000000000000003,0,Light breeze,2.306401903544677,0,0,0,0,,0.8955341221411581,4.9007196,0
2023-07-13 12:00:00+00:00,25.3725,7.42159,0.0,0.0,0.0,10.829958,2023,7,13,12,3,0,Afternoon,Summer,Warm,2.75,0,Light breeze,1.45925037626708,0,0,0,0,,25.3725,4.742159,0
2023-09-17 22:00:00+00:00,21.072498,11.592894,0.0,0.0,0.0,17.873556,2023,9,17,22,6,1,Evening,Fall,Warm,-0.5500019999999992,1,Moderate,1.5417682590731876,0,0,0,0,,21.072498,1.1592894,1
2023-03-17 11:00:00+00:00,4.1725,5.4833565,0.0,0.0,0.0,16.199999,2023,3,17,11,4,0,Morning,Spring,Cold,-0.0999999999999996,0,Light breeze,2.9543946303691904,0,0,0,0,,2.957128845277157,4.54833565,0
2023-08-25 13:00:00+00:00,21.0225,13.797912,6.4,0.0,6.4,26.124195,2023,8,25,13,4,0,Afternoon,Summer,Warm,0.1500000000000021,1,Moderate,1.89334407988687,0,1,1,0,Moderate,21.0225,4.3797912,0
2023-12-26 00:00:00+00:00,6.4725,5.4477882,0.0,0.0,0.0,8.311245,2023,12,26,0,1,0,Night,Winter,Cold,0.75,0,Light breeze,1.525618231633895,0,0,0,0,,5.59595063325666,4.54477882,0
2023-08-11 00:00:00+00:00,21.322498,7.42159,0.0,0.0,0.0,11.720751,2023,8,11,0,4,0,Night,Summer,Warm,-0.9000020000000006,1,Light breeze,1.5792776211027555,0,0,0,0,,21.322498,0.742159,1
2023-01-16 04:00:00+00:00,-1.2774999,26.282465,0.0,0.0,0.0,42.121536,2023,1,16,4,0,0,Night,Winter,Freezing,-0.5499999,0,Storm,1.6026478490506884,1,0,0,0,,-7.711123050362429,6.6282465,0
2023-08-09 09:00:00+00:00,19.7725,19.33639,0.0,0.0,0.0,33.657593,2023,8,9,9,2,0,Morning,Summer,Mild,-0.5499979999999987,1,Strong,1.7406347823973345,1,0,0,0,,19.7725,1.933639,1
2023-10-30 14:00:00+00:00,14.2725,4.510787,0.0,0.0,0.0,5.1165614,2023,10,30,14,0,0,Afternoon,Fall,Mild,1.700000000000001,1,Calm,1.134294614221421,0,0,0,0,,14.2725,0.4510786999999999,1
2023-01-04 12:00:00+00:00,9.8725,10.365251,0.0,0.0,0.0,27.333935,2023,1,4,12,2,0,Afternoon,Winter,Cold,-2.4000000000000004,0,Moderate,2.6370741046212967,0,0,0,0,,8.417171518304173,5.0365251,0
2023-06-03 16:00:00+00:00,18.4725,20.94507,0.0,0.0,0.0,27.36947,2023,6,3,16,5,1,Afternoon,Summer,Mild,-0.3499979999999993,1,Storm,1.3067261174109228,1,0,0,0,,18.4725,2.094507,1
2023-04-08 09:00:00+00:00,2.1225,9.9571085,0.0,0.0,0.0,19.296133,2023,4,8,9,5,1,Morning,Spring,Cold,-0.5500001000000001,0,Light breeze,1.937925352525786,0,0,0,0,,-0.7686133159039592,4.99571085,0
2023-02-15 11:00:00+00:00,5.7725,14.044615,0.0,0.0,0.0,27.059933,2023,2,15,11,2,0,Morning,Winter,Cold,0.4000000000000003,0,Moderate,1.9267123377892523,0,0,0,0,,2.8481907278167986,5.4044615,0
2023-02-01 18:00:00+00:00,2.3725,13.32,0.0,0.0,0.0,16.73516,2023,2,1,18,2,0,Evening,Winter,Cold,0.8999999000000001,0,Moderate,1.2563933933933935,0,0,0,0,,-1.1879983109128098,5.332,0
2023-03-02 01:00:00+00:00,3.5225,12.397806,0.0,0.0,0.0,23.469128,2023,3,2,1,3,0,Night,Spring,Cold,0.3499998999999998,0,Moderate,1.89300655293364,0,0,0,0,,0.3890109399318651,5.2397806,0
2023-07-23 22:00:00+00:00,26.5225,19.319628,0.0,0.0,0.0,26.564486,2023,7,23,22,6,1,Evening,Summer,Warm,-2.1499989999999976,0,Strong,1.3749998705979225,1,0,0,0,,26.5225,5.9319628,0
2023-06-08 15:00:00+00:00,19.922499,7.7879906,0.0,0.0,0.0,9.387651,2023,6,8,15,3,0,Afternoon,Summer,Mild,1.6999989999999985,1,Light breeze,1.2054009156097338,0,0,0,0,,19.922499,0.77879906,1
2023-05-01 11:00:00+00:00,8.3225,26.111792,0.0,0.0,0.0,38.69623,2023,5,1,11,0,0,Morning,Spring,Cold,1.0,0,Storm,1.4819446325246464,1,0,0,0,,4.691324411864904,6.6111792000000005,0
2023-02-19 03:00:00+00:00,1.6225001,15.986593,0.0,0.0,0.0,30.758411,2023,2,19,3,6,1,Night,Winter,Cold,-0.3500000000000001,0,Strong,1.9240128900510567,1,0,0,0,,-2.5850705423494182,5.5986593,0
2023-09-01 06:00:00+00:00,15.4225,13.202726,0.0,0.0,0.0,27.09822,2023,9,1,6,4,0,Morning,Fall,Mild,-0.5,1,Moderate,2.052471588064465,0,0,0,0,,15.4225,1.3202726,1
2023-06-07 21:00:00+00:00,24.5225,16.199999,0.0,0.0,0.0,21.252197,2023,6,7,21,2,0,Evening,Summer,Warm,-0.3499999999999978,1,Strong,1.311864093324944,1,0,0,0,,24.5225,1.6199998999999998,1
2023-05-11 07:00:00+00:00,10.9225,8.39657,0.0,0.0,0.0,23.113008,2023,5,11,7,3,0,Morning,Spring,Mild,-0.4000000000000003,1,Light breeze,2.7526725793984923,0,0,0,0,,10.9225,0.8396570000000001,1
2023-03-31 10:00:00+00:00,-1.0275,9.726664,0.0,0.0,0.0,14.565548,2023,3,31,10,4,0,Morning,Spring,Freezing,-3.0000001000000003,0,Light breeze,1.4974864969119936,0,0,0,0,,-4.466799428212642,4.9726664,0
2023-12-20 01:00:00+00:00,0.022499993,16.548256,0.0,0.0,0.0,29.301876,2023,12,20,1,2,0,Night,Winter,Cold,-0.600000007,0,Strong,1.7706926941425127,1,0,0,0,,-4.666013176703161,5.6548256,0
2023-04-20 02:00:00+00:00,10.1725,9.107359,0.0,0.0,0.0,22.89611,2023,4,20,2,3,0,Night,Spring,Mild,-1.0,1,Light breeze,2.5140230005207878,0,0,0,0,,10.1725,0.9107359,1
2023-10-14 15:00:00+00:00,11.6725,6.489992,0.0,0.0,0.0,8.699793,2023,10,14,15,5,1,Afternoon,Fall,Mild,0.3499999999999996,1,Light breeze,1.3404936400537937,0,0,0,0,,11.6725,0.6489992,1
2023-07-26 09:00:00+00:00,17.172499,8.350138,0.0,0.0,0.0,13.905509,2023,7,26,9,2,0,Morning,Summer,Mild,-0.2000010000000003,1,Light breeze,1.6653028967904484,0,0,0,0,,17.172499,0.8350137999999999,1
