start_station_id,date,hour,demand_count,datetime_hour,ride_distance_km,ride_duration,is_weekend,is_peak_hour,temperature_2m,precipitation,wind_speed_10m,weather_severity,is_good_biking_weather,has_precipitation,is_comfortable_temp,is_windy,season,traffic_mean,traffic_max,traffic_sum,traffic_count
2961.05,2023-03-13,15,1,2023-03-13 15:00:00,0.854926919508161,4.620383333333334,0.0,0.0,5.0725,0.2,13.797913,5.7797913,0.0,1.0,0.0,0.0,Spring,65.625,75.25,196.875,3.0
2951.05,2023-01-11,8,1,2023-01-11 08:00:00,7.236164862107297,37.02346666666666,0.0,1.0,-1.3774999,0.0,10.144082,5.0144082,0.0,0.0,0.0,0.0,Winter,255.5,255.5,255.5,1.0
2883.03,2023-06-07,10,1,2023-06-07 10:00:00,6.986627382093479,35.3663,0.0,0.0,13.1225,0.0,14.05845,1.405845,1.0,0.0,1.0,0.0,Summer,145.8125,232.0,583.25,4.0
2951.05,2023-05-05,9,1,2023-05-05 09:00:00,0.7443784130761333,2.6967166666666667,0.0,1.0,6.6725,0.0,7.2805495,4.72805495,0.0,0.0,0.0,0.0,Spring,218.8125,378.875,437.625,2.0
2961.05,2023-05-15,17,2,2023-05-15 17:00:00,0.632374446127619,7.445525,0.0,1.0,22.0225,0.0,12.599999,1.2599999,1.0,0.0,1.0,0.0,Spring,129.54166666666666,327.25,388.625,3.0
2951.05,2023-03-08,6,1,2023-03-08 06:00:00,1.630798372430032,9.0836,0.0,0.0,-0.9275,0.0,21.862406,6.1862406,0.0,0.0,0.0,1.0,Spring,26.625,45.75,53.25,2.0
2923.01,2023-06-02,14,1,2023-06-02 14:00:00,2.8699723932438768,10.4328,0.0,0.0,26.2225,0.0,8.373386,4.8373386,0.0,0.0,0.0,0.0,Summer,59.9375,118.75,239.75,4.0
2912.08,2023-06-16,10,2,2023-06-16 10:00:00,0.2351568457012599,2.770583333333333,0.0,0.0,15.3725,0.0,5.634891,0.5634891,1.0,0.0,1.0,0.0,Summer,900.0833333333333,1059.75,1800.1666666666663,2.0
2932.03,2023-05-19,6,2,2023-05-19 06:00:00,0.7615077574851309,4.797166666666668,0.0,0.0,10.4725,0.0,8.647496,0.8647496,1.0,0.0,1.0,0.0,Spring,32.625,48.0,130.5,4.0
2898.01,2023-09-21,8,1,2023-09-21 08:00:00,3.177249288394268,13.720466666666663,0.0,1.0,12.2725,0.0,8.311245,0.8311244999999999,1.0,0.0,1.0,0.0,Fall,99.875,122.25,399.5,4.0
2971.02,2023-05-22,11,1,2023-05-22 11:00:00,1.7273714013341128,10.685016666666666,0.0,0.0,14.5225,0.0,15.484185,1.5484185,1.0,0.0,1.0,1.0,Spring,74.4375,130.5,297.75,4.0
2932.03,2023-04-20,14,2,2023-04-20 14:00:00,2.3017370213757973,28.161741666666664,0.0,0.0,10.4725,0.0,10.44,1.044,1.0,0.0,1.0,0.0,Spring,565.5,945.375,1131.0,2.0
2951.05,2023-03-09,20,1,2023-03-09 20:00:00,2.542080622275245,13.9088,0.0,0.0,10.2225,0.0,21.077686,2.1077686,1.0,0.0,1.0,1.0,Spring,48.958333333333336,66.875,146.875,3.0
2861.02,2023-06-07,13,2,2023-06-07 13:00:00,0.8529244174040516,18.264691666666668,0.0,0.0,18.172499,0.0,12.599998,1.2599998,1.0,0.0,1.0,0.0,Summer,152.1875,257.0,608.75,4.0
2984.04,2023-10-04,15,2,2023-10-04 15:00:00,2.552828017277617,18.40385,0.0,0.0,23.8725,0.0,2.0991426,0.20991426,1.0,0.0,1.0,0.0,Fall,153.91666666666666,210.0,461.75,3.0
2872.02,2023-10-01,18,1,2023-10-01 18:00:00,5.983691253301161,30.50473333333333,1.0,1.0,24.422499,0.0,18.36353,1.836353,1.0,0.0,1.0,1.0,Fall,171.25,171.25,171.25,1.0
2821.05,2023-05-11,17,1,2023-05-11 17:00:00,6.552284342153888,44.47835,0.0,1.0,24.172499,0.0,8.905908,0.8905908,1.0,0.0,1.0,0.0,Spring,219.5625,380.125,439.125,2.0
2782.02,2023-03-19,13,1,2023-03-19 13:00:00,5.129976468277388,13.585066666666668,1.0,0.0,-1.5274999,0.0,22.366402,6.2366402,0.0,0.0,0.0,1.0,Spring,41.25,66.75,165.0,4.0
2832.03,2023-05-02,23,1,2023-05-02 23:00:00,0.9546883815015896,3.56915,0.0,0.0,11.5225,0.0,19.13426,1.913426,1.0,0.0,1.0,1.0,Spring,66.625,103.375,133.25,2.0
2923.01,2023-05-22,11,1,2023-05-22 11:00:00,0.710858666457721,4.424300000000001,0.0,0.0,14.5225,0.0,15.484185,1.5484185,1.0,0.0,1.0,1.0,Spring,74.4375,130.5,297.75,4.0
2932.03,2023-03-21,20,2,2023-03-21 20:00:00,0.0,104.608525,0.0,0.0,15.5725,0.0,18.171976,1.8171976,1.0,0.0,1.0,1.0,Spring,34.5625,63.25,138.25,4.0
2832.03,2023-05-13,16,3,2023-05-13 16:00:00,2.62985247395028,28.32320555555556,1.0,1.0,24.7725,0.0,4.510787,0.4510786999999999,1.0,0.0,1.0,0.0,Spring,209.75,349.25,419.5,2.0
3007.05,2023-05-07,15,2,2023-05-07 15:00:00,2.0884182579983896,17.07809166666667,1.0,0.0,20.2225,0.0,7.4128532,0.74128532,1.0,0.0,1.0,0.0,Spring,217.0,365.5,434.0,2.0
2932.03,2023-06-29,21,3,2023-06-29 21:00:00,0.4140824704908996,26.64772777777777,0.0,0.0,28.422499,0.0,8.049845,4.8049845,0.0,0.0,0.0,0.0,Summer,160.125,337.875,480.375,3.0
2832.03,2023-09-08,21,2,2023-09-08 21:00:00,0.0,44.32376666666667,0.0,0.0,29.322498,0.1,8.225035,5.0225035,0.0,1.0,0.0,0.0,Fall,23.75,33.0,47.5,2.0
2861.02,2023-04-02,12,1,2023-04-02 12:00:00,0.7917958506441047,3.620566666666667,1.0,0.0,4.5725,0.0,29.871325,6.9871325,0.0,0.0,0.0,1.0,Spring,125.5,125.5,125.5,1.0
2782.02,2023-08-08,14,1,2023-08-08 14:00:00,6.499124528890131,24.119866666666667,0.0,0.0,24.2725,0.0,15.192682,1.5192682,1.0,0.0,1.0,1.0,Summer,55.375,55.375,55.375,1.0
2821.05,2023-05-05,13,2,2023-05-05 13:00:00,4.004893522206278,20.30495833333333,0.0,0.0,11.5225,0.0,4.802999,0.4802999,1.0,0.0,1.0,0.0,Spring,235.3125,407.0,470.625,2.0
2951.05,2023-06-16,18,2,2023-06-16 18:00:00,0.9511037824796004,5.382358333333333,0.0,1.0,20.1225,0.9,18.844202,3.6844202,0.0,1.0,1.0,1.0,Summer,820.1666666666667,987.25,1640.3333333333337,2.0
2932.03,2023-08-02,14,2,2023-08-02 14:00:00,4.818094422662,23.943158333333333,0.0,0.0,22.5225,0.0,8.942214,0.8942213999999999,1.0,0.0,1.0,0.0,Summer,183.5,328.875,367.0,2.0
