Vol,Yr,M,D,HH,MM,WktGeom,Boro,street,Direction,datetime_hour,day_of_week,is_weekend,day_name,time_of_day,season,is_peak_hour,hourly_mean_vol,rel_volume,volume_category,vol_zscore,is_vol_outlier,boro_Bronx,boro_Brooklyn,boro_Manhattan,boro_Queens,boro_Staten Island,boro_avg_vol,boro_rel_vol,direction_cardinal,dir_EB,dir_NB,dir_SB,dir_WB,is_major_street,dow_hour_key,typical_vol_for_time,vol_vs_typical,congestion_index,location_id,location_weekday_vol,location_weekend_vol,weekday_weekend_ratio
47,2023,5,5,6,45,POINT (999725.6730184525 192836.2813155484),Brooklyn,MYRTLE AVENUE,EB,2023-05-05 06:45:00,4,0,Friday,Morning Rush,Spring,0,153.95760430686406,0.3052788474567381,Medium-Low,-0.1643029723543155,0,False,True,False,False,False,168.5789953697208,0.2788010445602755,East,True,False,False,False,0,4_6,141.9436274509804,0.331117365703728,0.0,Brooklyn_MYRTLE AVENUE_EB,51.46853146853147,51.125,1.0067194419272658
53,2023,5,6,1,30,POINT (999725.6730184525 192836.2813155484),Brooklyn,MYRTLE AVENUE,EB,2023-05-06 01:30:00,5,1,Saturday,Early Morning,Spring,0,53.440107671601616,0.9917644688460182,Medium-Low,0.0633399864438375,0,False,True,False,False,False,168.5789953697208,0.3143926672700979,East,True,False,False,False,0,5_1,72.92548076923077,0.7267692916240893,0.0,Brooklyn_MYRTLE AVENUE_EB,51.46853146853147,51.125,1.0067194419272658
122,2023,10,26,6,0,POINT (1003489.5459258083 233692.39948567233),Bronx,3 AVENUE BRIDGE,WB,2023-10-26 06:00:00,3,0,Thursday,Morning Rush,Fall,0,153.95760430686406,0.7924259444621713,Medium-High,-0.3296842950937077,0,True,False,False,False,False,100.42338154269972,1.2148565217167673,West,False,False,False,True,0,3_6,183.8177570093458,0.6637008414469837,0.0,Bronx_3 AVENUE BRIDGE_WB,151.025,125.48697916666669,1.2035113204806276
21,2023,3,10,1,30,POINT (1009859.3746851437 250359.40262193806),Bronx,WEST BURNSIDE AVENUE,EB,2023-03-10 01:30:00,4,0,Friday,Early Morning,Spring,0,53.440107671601616,0.3929632801087996,Low,-1.277395631916817,0,True,False,False,False,False,100.42338154269972,0.209114647180755,East,True,False,False,False,0,4_1,33.20343137254902,0.6324647523436924,0.0,Bronx_WEST BURNSIDE AVENUE_EB,54.45625,49.723958333333336,1.095171257986802
241,2023,11,2,8,30,POINT (1002754.5374999298 235875.81836194085),Manhattan,MADISON AVENUE BRIDGE,EB,2023-11-02 08:30:00,3,0,Thursday,Morning Rush,Fall,1,186.3277254374159,1.2934199643892907,High,0.2693166284595226,0,False,False,True,False,False,109.86825396825397,2.193536269991476,East,True,False,False,False,0,3_8,206.57476635514016,1.166647815956749,1.833239079783745,Manhattan_MADISON AVENUE BRIDGE_EB,210.42013888888889,205.45833333333331,1.024149935780437
843,2023,4,25,12,15,POINT (1029764.5558550587 206620.68480365377),Queens,VAN WYCK EXPRESSWAY,NB,2023-04-25 12:15:00,1,0,Tuesday,Midday,Spring,0,188.849932705249,4.463861797164248,High,0.2881921965984135,0,False,False,False,True,False,193.52805962670675,4.3559574855762495,North,False,True,False,False,1,1_12,219.09375,3.8476679503637135,10.0,Queens_VAN WYCK EXPRESSWAY_NB,756.0052083333334,,
79,2023,5,11,10,30,POINT (1009641.7787188389 177763.87165765063),Brooklyn,LINDEN BOULEVARD,WB,2023-05-11 10:30:00,3,0,Thursday,Midday,Spring,0,176.79306864064603,0.4468500977296647,Medium-High,0.8868430042719442,0,False,True,False,False,False,168.5789953697208,0.4686230323459949,West,False,False,False,True,0,3_10,182.8855140186916,0.4319642286809326,0.0,Brooklyn_LINDEN BOULEVARD_WB,55.87291666666667,47.473958333333336,1.1769171695008227
15,2023,3,4,19,45,POINT (1049945.3061012689 216034.33471385224),Queens,46 AVENUE,EB,2023-03-04 19:45:00,5,1,Saturday,Night,Spring,0,182.0104306864065,0.0824128592159871,Low,-0.2839874082113038,0,False,False,False,True,False,193.52805962670675,0.0775081403127446,East,True,False,False,False,0,5_19,176.17067307692307,0.0851447050636538,0.0,Queens_46 AVENUE_EB,23.397569444444443,14.59375,1.6032595764929811
90,2023,5,2,6,30,POINT (999725.6730184525 192836.2813155484),Brooklyn,MYRTLE AVENUE,WB,2023-05-02 06:30:00,1,0,Tuesday,Morning Rush,Spring,0,153.95760430686406,0.5845765164065198,Medium-High,2.111062075934867,1,False,True,False,False,False,168.5789953697208,0.5338743406473361,West,False,False,False,True,0,1_6,222.50669642857144,0.404482208601266,0.0,Brooklyn_MYRTLE AVENUE_WB,46.8513986013986,47.083333333333336,0.9950739525960764
15,2023,3,6,9,15,POINT (1049945.3061012689 216034.33471385224),Queens,46 AVENUE,EB,2023-03-06 09:15:00,0,0,Monday,Morning Rush,Spring,1,179.4421265141319,0.0835924110541494,Low,-0.2839874082113038,0,False,False,False,True,False,193.52805962670675,0.0775081403127446,East,True,False,False,False,0,0_9,152.59848484848484,0.098297175197339,0.0,Queens_46 AVENUE_EB,23.397569444444443,14.59375,1.6032595764929811
